15	15
9	2	-7	7	-6	-5	-10	-3	6	6	-9	-9	10	-2	4
0	-9	4	6	7	-2	9	10	5	2	0	-8	-7	10	-7
0	-6	-7	3	-6	2	5	-10	8	-7	-8	-7	-8	-4	-3
-3	-3	-3	-3	-6	-5	0	8	8	-5	7	-2	-3	4	-1
8	7	3	7	-7	2	2	9	-3	8	7	7	-6	3	10
-3	-10	6	1	-6	4	-6	6	4	-10	5	6	0	1	-7
-8	-10	-9	-3	-1	-6	-1	-8	-6	0	-7	-9	-3	4	7
6	-7	9	9	-4	-8	10	-5	-10	-7	3	-2	9	3	3
-2	3	6	8	9	-4	1	-3	5	10	0	1	9	-7	-3
-5	5	0	1	-1	-4	0	4	0	4	10	-2	-9	-8	-6
-2	3	-1	3	-7	-2	-6	-8	0	0	3	3	5	10	-2
-8	-1	-1	2	9	0	0	5	8	-1	6	3	-5	-7	0
-8	1	-4	-6	10	-9	3	-8	2	-9	-1	-4	-2	-10	-8
9	-4	0	-4	-1	-5	4	3	2	4	-1	-1	1	1	2
10	5	0	-1	-8	6	-2	0	8	-10	7	-10	9	8	-6
